INFO  - 2014-02-11 14:03:36.719; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file/ params={file=admin-extra.menu-top.html&_=1392123816715&contentType=text/html;charset%3Dutf-8} status=0 QTime=1 
INFO  - 2014-02-11 14:03:36.722; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file/ params={file=admin-extra.menu-bottom.html&_=1392123816716&contentType=text/html;charset%3Dutf-8} status=0 QTime=1 
INFO  - 2014-02-11 14:03:36.741; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/luke params={numTerms=0&_=1392123816735&show=index&wt=json} status=0 QTime=2 
INFO  - 2014-02-11 14:03:36.753; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file/ params={file=admin-extra.html&_=1392123816740} status=0 QTime=8 
INFO  - 2014-02-11 14:03:36.755; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/replication params={command=details&_=1392123816738&wt=json} status=0 QTime=14 
INFO  - 2014-02-11 14:03:36.760; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/ping params={action=status&_=1392123816741&wt=json} status=503 QTime=8 
INFO  - 2014-02-11 14:03:36.810; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/system params={_=1392123816739&wt=json} status=0 QTime=68 
INFO  - 2014-02-11 14:04:22.787; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={indent=true&q=*:*&_=1392123862784&wt=json} hits=0 status=0 QTime=1 
INFO  - 2014-02-11 14:08:50.349; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {} 0 11
ERROR - 2014-02-11 14:08:50.349; org.apache.solr.common.SolrException; org.apache.solr.common.SolrException: ERROR: [doc=s_8c4004a9049d5ce76404bc47ac729c30] unknown field 'ned'
	at org.apache.solr.update.DocumentBuilder.toDocument(DocumentBuilder.java:174)
	at org.apache.solr.update.AddUpdateCommand.getLuceneDocument(AddUpdateCommand.java:77)
	at org.apache.solr.update.DirectUpdateHandler2.addDoc(DirectUpdateHandler2.java:215)
	at org.apache.solr.update.processor.RunUpdateProcessor.processAdd(RunUpdateProcessorFactory.java:69)
	at org.apache.solr.update.processor.UpdateRequestProcessor.processAdd(UpdateRequestProcessor.java:51)
	at org.apache.solr.update.processor.DistributedUpdateProcessor.doLocalAdd(DistributedUpdateProcessor.java:571)
	at org.apache.solr.update.processor.DistributedUpdateProcessor.versionAdd(DistributedUpdateProcessor.java:707)
	at org.apache.solr.update.processor.DistributedUpdateProcessor.processAdd(DistributedUpdateProcessor.java:437)
	at org.apache.solr.update.processor.LogUpdateProcessor.processAdd(LogUpdateProcessorFactory.java:100)
